image_path,image_name,true_label,pred_label,class_name,correct,ita_value,skin_group,short_name
/content/data_split/test/1. Eczema 1677/0_16.jpg,0_16.jpg,0,0,Eczema,True,-84.46697195961028,dark,Eczema
/content/data_split/test/1. Eczema 1677/0_19.jpg,0_19.jpg,0,8,Eczema,False,79.381533091068,very_light,Eczema
/content/data_split/test/1. Eczema 1677/0_8.jpg,0_8.jpg,0,0,Eczema,True,83.04397215279104,very_light,Eczema
/content/data_split/test/1. Eczema 1677/1_26.jpg,1_26.jpg,0,0,Eczema,True,85.32033870177959,very_light,Eczema
/content/data_split/test/1. Eczema 1677/3_26.jpg,3_26.jpg,0,7,Eczema,False,72.54587850237617,very_light,Eczema
/content/data_split/test/1. Eczema 1677/3_31.jpg,3_31.jpg,0,7,Eczema,False,74.51652824253608,very_light,Eczema
/content/data_split/test/1. Eczema 1677/4_9.jpg,4_9.jpg,0,0,Eczema,True,86.62032113555598,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-03EczemaExcoriated.jpg,t-03EczemaExcoriated.jpg,0,0,Eczema,True,85.13010742824117,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-Dyshidrosis-15.jpg,t-Dyshidrosis-15.jpg,0,0,Eczema,True,82.13376633810022,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-Dyshidrosis-37.jpg,t-Dyshidrosis-37.jpg,0,0,Eczema,True,80.84660718604995,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-Dyshidrosis-38.jpg,t-Dyshidrosis-38.jpg,0,0,Eczema,True,81.0437711074064,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-Dyshidrosis-45.jpg,t-Dyshidrosis-45.jpg,0,9,Eczema,False,-70.90889775594223,dark,Eczema
/content/data_split/test/1. Eczema 1677/t-Dyshidrosis-49.jpg,t-Dyshidrosis-49.jpg,0,0,Eczema,True,-85.27404701361301,dark,Eczema
/content/data_split/test/1. Eczema 1677/t-Dyshidrosis-50.jpg,t-Dyshidrosis-50.jpg,0,0,Eczema,True,-85.17420745545023,dark,Eczema
/content/data_split/test/1. Eczema 1677/t-Dyshidrosis-55.jpg,t-Dyshidrosis-55.jpg,0,7,Eczema,False,84.67807921630072,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-Dyshidrosis-59.jpg,t-Dyshidrosis-59.jpg,0,0,Eczema,True,88.5438140160224,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-chapped-fissured-feet-23.jpg,t-chapped-fissured-feet-23.jpg,0,0,Eczema,True,-84.17636141502982,dark,Eczema
/content/data_split/test/1. Eczema 1677/t-chapped-fissured-feet-26.jpg,t-chapped-fissured-feet-26.jpg,0,0,Eczema,True,73.8381976198018,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-chapped-fissured-feet-5.jpg,t-chapped-fissured-feet-5.jpg,0,0,Eczema,True,85.85468179333498,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-desquamation-3.jpg,t-desquamation-3.jpg,0,9,Eczema,False,86.90652370132243,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-acute-21.jpg,t-eczema-acute-21.jpg,0,1,Eczema,False,82.027329645264,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-acute-22.jpg,t-eczema-acute-22.jpg,0,0,Eczema,True,86.35582150281516,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-areola-14.jpg,t-eczema-areola-14.jpg,0,3,Eczema,False,79.13947389523713,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-areola-7.jpg,t-eczema-areola-7.jpg,0,0,Eczema,True,84.75055094004391,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-asteatotic-19.jpg,t-eczema-asteatotic-19.jpg,0,0,Eczema,True,82.10511501793202,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-asteatotic-30.jpg,t-eczema-asteatotic-30.jpg,0,0,Eczema,True,82.61382300967634,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-asteatotic-6.jpg,t-eczema-asteatotic-6.jpg,0,3,Eczema,False,84.32521190247566,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-chronic-13.jpg,t-eczema-chronic-13.jpg,0,0,Eczema,True,76.19147778610159,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-chronic-17.jpg,t-eczema-chronic-17.jpg,0,0,Eczema,True,77.96709599966694,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-chronic-3.jpg,t-eczema-chronic-3.jpg,0,0,Eczema,True,77.22389399270888,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-chronic-32.jpg,t-eczema-chronic-32.jpg,0,9,Eczema,False,76.34165602577117,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-chronic-45.jpg,t-eczema-chronic-45.jpg,0,0,Eczema,True,86.41582395236412,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-chronic-5.jpg,t-eczema-chronic-5.jpg,0,0,Eczema,True,85.87802030406652,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-face-5.jpg,t-eczema-face-5.jpg,0,7,Eczema,False,79.26640393327015,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-118.jpg,t-eczema-fingertips-118.jpg,0,0,Eczema,True,80.09583275062415,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-119.jpg,t-eczema-fingertips-119.jpg,0,0,Eczema,True,80.19439295786911,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-124.jpg,t-eczema-fingertips-124.jpg,0,0,Eczema,True,85.21454885284979,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-132.jpg,t-eczema-fingertips-132.jpg,0,0,Eczema,True,73.55773890390992,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-14.jpg,t-eczema-fingertips-14.jpg,0,0,Eczema,True,84.58963370420479,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-140.jpg,t-eczema-fingertips-140.jpg,0,0,Eczema,True,86.17301892974854,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-4.jpg,t-eczema-fingertips-4.jpg,0,0,Eczema,True,80.03310043313236,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-41.jpg,t-eczema-fingertips-41.jpg,0,0,Eczema,True,85.37600604747719,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-74.jpg,t-eczema-fingertips-74.jpg,0,0,Eczema,True,69.39845442748897,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-90.jpg,t-eczema-fingertips-90.jpg,0,0,Eczema,True,75.25771223711861,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-92.jpg,t-eczema-fingertips-92.jpg,0,0,Eczema,True,72.08258561360212,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-97.jpg,t-eczema-fingertips-97.jpg,0,0,Eczema,True,82.88102099081057,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-fingertips-98.jpg,t-eczema-fingertips-98.jpg,0,0,Eczema,True,81.75953435757594,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-foot-1.jpg,t-eczema-foot-1.jpg,0,0,Eczema,True,77.06631210793427,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-foot-10.jpg,t-eczema-foot-10.jpg,0,0,Eczema,True,80.8837650070308,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-foot-21.jpg,t-eczema-foot-21.jpg,0,0,Eczema,True,81.11620414030287,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-foot-30.jpg,t-eczema-foot-30.jpg,0,0,Eczema,True,80.82655249814637,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-foot-36.jpg,t-eczema-foot-36.jpg,0,0,Eczema,True,79.41868428383387,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-foot-54.jpg,t-eczema-foot-54.jpg,0,0,Eczema,True,31.429550384740097,light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-foot-75.jpg,t-eczema-foot-75.jpg,0,0,Eczema,True,60.28787375655017,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-foot-77.jpg,t-eczema-foot-77.jpg,0,0,Eczema,True,63.68214861283615,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-foot-79.jpg,t-eczema-foot-79.jpg,0,0,Eczema,True,78.95773653846065,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-foot-94.jpg,t-eczema-foot-94.jpg,0,0,Eczema,True,80.09841001585525,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-hand-101.jpg,t-eczema-hand-101.jpg,0,7,Eczema,False,78.01956709571262,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-hand-108.jpg,t-eczema-hand-108.jpg,0,0,Eczema,True,80.31575385869255,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-hand-111.jpg,t-eczema-hand-111.jpg,0,0,Eczema,True,78.62991951664203,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-hand-112.jpg,t-eczema-hand-112.jpg,0,0,Eczema,True,80.5459801240594,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-hand-117.jpg,t-eczema-hand-117.jpg,0,0,Eczema,True,81.0169730010911,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-hand-122.jpg,t-eczema-hand-122.jpg,0,0,Eczema,True,76.92266409434853,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-hand-130.jpg,t-eczema-hand-130.jpg,0,0,Eczema,True,77.92889725748562,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-hand-131.jpg,t-eczema-hand-131.jpg,0,0,Eczema,True,78.80508992424795,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-hand-132.jpg,t-eczema-hand-132.jpg,0,0,Eczema,True,86.64791827722729,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-hand-148.jpg,t-eczema-hand-148.jpg,0,0,Eczema,True,69.1645941306529,very_light,Eczema
/content/data_split/test/1. Eczema 1677/t-eczema-hand-175.jpg,t-eczema-hand-175.jpg,0,0,Eczema,True,68.89078706762454,very_light,Eczema
