image_path,image_name,true_label,pred_label,class_name,correct,ita_value,skin_group,short_name
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0024431.jpg,ISIC_0024431.jpg,4,4,Basal Cell Carcinoma,True,-84.16551314944701,dark,BCC
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0024432.jpg,ISIC_0024432.jpg,4,5,Basal Cell Carcinoma,False,87.5993130740781,very_light,BCC
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0024504.jpg,ISIC_0024504.jpg,4,4,Basal Cell Carcinoma,True,89.95923811095817,very_light,BCC
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0024833.jpg,ISIC_0024833.jpg,4,4,Basal Cell Carcinoma,True,87.3369254261583,very_light,BCC
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0024885.jpg,ISIC_0024885.jpg,4,4,Basal Cell Carcinoma,True,89.85854232290659,very_light,BCC
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0024897.jpg,ISIC_0024897.jpg,4,4,Basal Cell Carcinoma,True,89.71699089024004,very_light,BCC
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0025383.jpg,ISIC_0025383.jpg,4,4,Basal Cell Carcinoma,True,-85.18847325464493,dark,BCC
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0025467.jpg,ISIC_0025467.jpg,4,4,Basal Cell Carcinoma,True,-86.76000065789013,dark,BCC
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0025700.jpg,ISIC_0025700.jpg,4,4,Basal Cell Carcinoma,True,87.64902683048226,very_light,BCC
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0026074.jpg,ISIC_0026074.jpg,4,4,Basal Cell Carcinoma,True,88.89238220136629,very_light,BCC
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0026192.jpg,ISIC_0026192.jpg,4,4,Basal Cell Carcinoma,True,-87.23644609177451,dark,BCC
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0026343.jpg,ISIC_0026343.jpg,4,4,Basal Cell Carcinoma,True,85.58916252553605,very_light,BCC
/content/data_split/test/4. Basal Cell Carcinoma (BCC) 3323/ISIC_0026829.jpg,ISIC_0026829.jpg,4,4,Basal Cell Carcinoma,True,85.30138514352315,very_light,BCC
